full_name,years_old
Boston Celtics,80
Golden State Warriors,80
New York Knicks,80
Los Angeles Lakers,78
Sacramento Kings,78
Detroit Pistons,78
Atlanta Hawks,77
Philadelphia 76ers,77
Washington Wizards,65
Chicago Bulls,60
Houston Rockets,59
Oklahoma City Thunder,59
Milwaukee Bucks,58
Phoenix Suns,58
Cleveland Cavaliers,56
Los Angeles Clippers,56
Portland Trail Blazers,56
Utah Jazz,52
Denver Nuggets,50
Brooklyn Nets,50
Indiana Pacers,50
San Antonio Spurs,50
Dallas Mavericks,46
Miami Heat,38
Charlotte Hornets,38
Minnesota Timberwolves,37
Orlando Magic,37
Toronto Raptors,31
Memphis Grizzlies,31
New Orleans Pelicans,24
